country,country_new,exporter
Netherlands,Netherlands,7201
Indonesia,Indonesia,6491
Italy,Italy,5126
United States of America,UnitedStatesofAmerica,4503
France,France,3745
Germany,Germany,2653
Ecuador,Ecuador,1501
China,China,1495
Switzerland,Switzerland,1490
Singapore,Singapore,1489
Thailand,Thailand,1430
Australia,Australia,1417
South Africa,SouthAfrica,1401
Malaysia,Malaysia,1354
Peru,Peru,1312
Spain,Spain,1273
Philippines,Philippines,1155
Canada,Canada,1128
Japan,Japan,1053
Madagascar,Madagascar,923
Hong Kong,HongKong,844
Czechia,Czechia,752
"Taiwan, Province of China",TaiwanProvinceofChina,670
Namibia,Namibia,562
Zimbabwe,Zimbabwe,545
Fiji,Fiji,499
Colombia,Colombia,498
Brazil,Brazil,495
Monaco,Monaco,422
Mexico,Mexico,414
India,India,386
Argentina,Argentina,328
Guyana,Guyana,306
Turkey,Turkey,235
Russian Federation,RussianFederation,234
Viet Nam,VietNam,207
Portugal,Portugal,182
Qatar,Qatar,172
Lao People's Democratic Republic,LaoPeoplesDemocraticRepublic,156
"Tanzania, United Republic of",TanzaniaUnitedRepublicof,155
Kenya,Kenya,149
Greenland,Greenland,124
Uzbekistan,Uzbekistan,109
Norway,Norway,108
New Zealand,NewZealand,107
Zambia,Zambia,104
Cuba,Cuba,93
Greece,Greece,92
Sri Lanka,SriLanka,87
Luxembourg,Luxembourg,83
Kazakhstan,Kazakhstan,79
Jersey,Jersey,78
Nicaragua,Nicaragua,78
Serbia,Serbia,74
"Congo, Democratic Republic of the",CongoDemocraticRepublicofthe,73
Jamaica,Jamaica,73
Venezuela (Bolivarian Republic of),VenezuelaBolivarianRepublicof,68
Mozambique,Mozambique,66
Ethiopia,Ethiopia,65
Uganda,Uganda,65
Togo,Togo,63
Palau,Palau,61
Costa Rica,CostaRica,60
Bahamas,Bahamas,57
Estonia,Estonia,57
Mali,Mali,56
Hungary,Hungary,54
Bahrain,Bahrain,53
Mongolia,Mongolia,52
Armenia,Armenia,50
Chile,Chile,48
Slovenia,Slovenia,47
Mauritius,Mauritius,46
Finland,Finland,45
Cambodia,Cambodia,43
Côte d'Ivoire,CôtedIvoire,43
Cameroon,Cameroon,38
Pakistan,Pakistan,37
Sudan,Sudan,36
Bermuda,Bermuda,35
Ireland,Ireland,33
Bolivia (Plurinational State of),BoliviaPlurinationalStateof,32
Senegal,Senegal,30
Seychelles,Seychelles,28
Benin,Benin,24
Georgia,Georgia,24
Rwanda,Rwanda,23
Belize,Belize,22
San Marino,SanMarino,22
Congo,Congo,20
Cayman Islands,CaymanIslands,19
Honduras,Honduras,19
Kyrgyzstan,Kyrgyzstan,19
Malawi,Malawi,19
Haiti,Haiti,18
Guernsey,Guernsey,17
Saint Kitts and Nevis,SaintKittsandNevis,17
Croatia,Croatia,16
New Caledonia,NewCaledonia,16
Malta,Malta,15
Tajikistan,Tajikistan,15
Virgin Islands (British),VirginIslandsBritish,15
Turks and Caicos Islands,TurksandCaicosIslands,13
Nigeria,Nigeria,12
Liberia,Liberia,11
Azerbaijan,Azerbaijan,10
Syrian Arab Republic,SyrianArabRepublic,10
Central African Republic,CentralAfricanRepublic,7
Dominica,Dominica,7
Maldives,Maldives,7
Gabon,Gabon,6
Albania,Albania,5
Grenada,Grenada,5
Saint Lucia,SaintLucia,5
Guinea,Guinea,4
Yemen,Yemen,4
Kiribati,Kiribati,3
Saint Vincent and the Grenadines,SaintVincentandtheGrenadines,3
Eritrea,Eritrea,2
Gibraltar,Gibraltar,2
Cabo Verde,CaboVerde,1
Niger,Niger,1
Samoa,Samoa,1
Timor-Leste,TimorLeste,1
Tokelau,Tokelau,1
