country,total_aid_funding,total_domestic_funding,trust_funds_and_debt_swaps,other,total
Afghanistan,3.394698258,0.07146368,0,2.093303571,5.559465509
Albania,5.432888863,0,0,0,5.432888863
Algeria,0.564590375,3.572040793,0,0,4.136631168
Andorra,0,0,0,0,0
Angola,0.06928595,0.02863904,0,0,0.09792499
Antarctica,0,0,0,0,0
Antigua and Barbuda,0.440024401,1.769788817,0,0,2.209813218
Argentina,4.51689476,29.6428879,2.444571429,0,36.604354089000005
Armenia,2.648223365,0,0,0,2.648223365
Australia,0,538.4859883,0,0,538.4859883
Austria,0,99.85739842,0,4.638461538,104.495859958
Azerbaijan,2.172697613,0,0,0,2.172697613
"Bahamas, The",0.069269283,1.119121627,0,0,1.1883909099999999
Bahrain,0,5.586652762,0,0,5.586652762
Bangladesh,2.888278446,0.337078918,0.495833333,0,3.721190697
Barbados,0.078678086,0.10770888,0,0,0.186386966
Belgium,0,139.0026975,0,4.164790909,143.16748840900001
Belize,1.655370053,0.134105473,1.258653846,0.09150489,3.139634262
Benin,3.495547509,0,0,0,3.495547509
Bhutan,2.213856874,0.377985113,1.62,0,4.211841987
Bolivia,16.38571981,0.419640987,3.15,0,19.955360797
Bosnia and Herzegovina,2.362202003,0,0,0,2.362202003
Botswana,3.496432723,6.920675023,0,0,10.417107746
Brazil,54.43656548,115.3164975,2.283343348,0,172.03640632799997
Brunei,0,5.16296816,0,0,5.16296816
Bulgaria,4.581331174,0,1.089357569,0,5.6706887429999995
Burkina Faso,3.932297876,0.22668974,0,0,4.158987616
Burundi,2.355243321,0.317299194,0,0,2.672542515
Byelarus,0.485169031,0,0,0,0.485169031
Cambodia,3.383466623,0.016614546,0,0,3.400081169
Cameroon,12.22879813,1.000120289,1.84375,0.885,15.957668418999999
Canada,0,1140.106522,0,0,1140.106522
Cape Verde,1.065239276,0,0,0,1.065239276
Central African Republic,7.495046909,0.396347836,0,0.05079492,7.942189665000001
Chad,3.018204293,0.311581,0,0,3.329785293
Chile,5.37711291,11.38071744,0.322575,0,17.08040535
China,69.88774224,80.75054736,0,0,150.6382896
Colombia,37.43883908,22.17569718,7.487703891,4.071,71.173240151
Comoros,0.04841259,0,0,0,0.04841259
Congo,1.013810575,0,0,0,1.013810575
Costa Rica,9.837325881,18.3521188,0.73787,0,28.927314681
Croatia,3.289444831,12.71045407,0,0,15.999898901000002
Cuba,3.212629126,1.954996269,0,0,5.167625395
Cyprus,0,1.331161398,0,1.4715,2.802661398
Czech Republic,0.334691451,18.68025547,0,0.3597,19.374646921
Democratic Republic of the Congo,12.12184264,1.24e-6,0,0,12.12184388
Denmark,0,390.0650637,0,2.336563636,392.401627336
Djibouti,0.002321868,0,0,0,0.002321868
Dominica,1.196323373,0.802719464,0,0.416666667,2.415709504
Dominican Republic,2.225212668,11.14177982,0,0,13.366992488000001
East Timor,0.136217828,0,0,0,0.136217828
Ecuador,18.23126251,3.374192,0.756,0,22.36145451
Egypt,5.900183978,2.209812281,2.58069,0,10.690686259000001
El Salvador,4.28299041,0.435179917,4.200024851,0,8.918195178000001
Equatorial Guinea,0.012892311,0,0,0,0.012892311
Eritrea,0.082477429,0,0,0,0.082477429
Estonia,0.143509011,10.76955084,0,6.24605,17.159109851000004
Ethiopia,5.870386725,2.198832411,0,0.019,8.088219136000001
Federated States of Micronesia,0.180722878,0,0,2.85,3.030722878
Fiji,0.243398186,0.825633568,0,7.453846154,8.522877908
Finland,0,34.1976873,0,3.165954545,37.363641845
France,0,573.2055,0,3.879409091,577.084909091
Gabon,5.778831583,0.718744772,0,0,6.497576355
"Gambia, The",0,0.062201008,0,0,0.062201008
Gaza Strip,0,0,0,0,0
Georgia,4.472342533,0,0,0,4.472342533
Germany,0,97.22393052,0,5.698718182,102.922648702
Ghana,7.640014609,1.367455208,0.02712,0.12,9.154589817
Greece,0,1.92e-6,0,2.818145455,2.8181473749999997
Grenada,0.131910974,0.692289656,0,0,0.82420063
Guatemala,21.0786875,4.412982298,6.351546014,0,31.843215812
Guinea,3.670764885,0,0,0,3.670764885
Guinea-Bissau,2.483479676,0,0,0,2.483479676
Guyana,0.49549483,0,0,0,0.49549483
Haiti,1.903971041,0,0,0,1.903971041
Honduras,14.01339075,2.414387,1.211936655,0,17.639714405
Hungary,0.283158649,40.37932447,0,2.0928,42.755283119
Iceland,0,28.00708124,0,0,28.00708124
India,42.02240723,79.69742912,0,0,121.71983635
Indonesia,26.78213833,0.890654407,0.935174056,0,28.607966793
Iran,16.54939805,0,0,0,16.54939805
Iraq,1.89275e-4,0,0,0,1.89275e-4
Ireland,0,0,0,1.15758,1.15758
Israel,0.00295947,17.7779555,0,0,17.78091497
Italy,0,0,0,5.440090909,5.440090909
Ivory Coast,0.992399759,2.912838156,0,0,3.905237915
Jamaica,1.181383643,0.457329276,1.1338,0,2.772512919
Japan,0,0,0,0,0
Jordan,4.05216983,0,0,0,4.05216983
Kazakhstan,4.068427846,1.02846481,0,0,5.096892656
Kenya,25.93331073,16.72518837,0,0,42.6584991
Kiribati,0.053359306,0,0,0,0.053359306
Kuwait,0,0,0,0,0
Kyrgyzstan,0.464967739,0.511682683,0,0,0.976650422
Laos,1.332501368,1.385228218,0,0,2.717729586
Latvia,0.570803115,0.789795768,0,1.8639,3.224498883
Lebanon,0.980402125,0,0,0,0.980402125
Lesotho,1.561584573,1e-6,0,0,1.561585573
Liberia,1.330764134,0,0,0,1.330764134
Libya,0.025043766,0,0,0,0.025043766
Liechtenstein,0,0,0,0,0
Lithuania,0.537806691,2.217881655,0,1.4715,4.227188346
Luxembourg,0,1.873764371,0,0.24525,2.119014371
Macedonia,0.390523056,1.071016387,0,0,1.461539443
Madagascar,18.29844779,0.512647338,1.918440683,1.105875509,21.835411320000002
Malawi,3.019348983,0.831932503,0.7871665,0,4.638447986
Malaysia,1.71556148,6.975217115,0,0,8.690778595000001
Maldives,0.429247733,0,0,0,0.429247733
Mali,2.991194326,1.22e-6,0,0,2.991195546
Malta,0,0.344002284,0,0.4905,0.834502284
Marshall Islands,0.15996506,0,0,0,0.15996506
Mauritania,1.65021245,0,0,0,1.65021245
Mauritius,0.677238521,4.7736537,0,0.39046,5.841352221
Mexico,39.85998301,49.7496092,2.014684102,0,91.624276312
Moldova,0.413254701,0,0,0,0.413254701
Monaco,0,0,0,0,0
Mongolia,4.189161425,0.366819332,0,0,4.555980757
Montenegro,0.006533378,0,0,0,0.006533378
