Red_list_category,Country,num_species,Category
CR,Angola,1,Critically Endangered
CR,Antigua And Barbuda,5,Critically Endangered
CR,Australia,20,Critically Endangered
CR,Barbados,2,Critically Endangered
CR,"Bonaire, Saint Eustatius And Saba",1,Critically Endangered
CR,Botswana,1,Critically Endangered
CR,Brazil,5,Critically Endangered
CR,Cameroon,2,Critically Endangered
CR,Canada,5,Critically Endangered
CR,Central African Republic,1,Critically Endangered
CR,Chad,2,Critically Endangered
CR,Chile,1,Critically Endangered
CR,China,11,Critically Endangered
CR,Comoros,1,Critically Endangered
CR,Costa Rica,3,Critically Endangered
CR,Denmark,1,Critically Endangered
CR,Djibouti,1,Critically Endangered
CR,Dominican Republic,2,Critically Endangered
CR,Ecuador,4,Critically Endangered
CR,Ethiopia,3,Critically Endangered
CR,France,4,Critically Endangered
CR,French Southern Territories,2,Critically Endangered
CR,Germany,2,Critically Endangered
CR,Greece,1,Critically Endangered
CR,Guadeloupe,1,Critically Endangered
CR,Guam,1,Critically Endangered
CR,Guinea-Bissau,1,Critically Endangered
CR,India,37,Critically Endangered
CR,Indonesia,8,Critically Endangered
CR,International Waters,2,Critically Endangered
CR,Kazakhstan,5,Critically Endangered
CR,Kenya,12,Critically Endangered
CR,Kiribati,1,Critically Endangered
CR,"Korea, Republic Of",1,Critically Endangered
CR,Madagascar,3,Critically Endangered
CR,Malawi,1,Critically Endangered
CR,Malaysia,5,Critically Endangered
CR,Mauritius,2,Critically Endangered
CR,Mexico,9,Critically Endangered
CR,Morocco,4,Critically Endangered
CR,Mozambique,1,Critically Endangered
CR,Namibia,2,Critically Endangered
CR,Nepal,8,Critically Endangered
CR,Netherlands,1,Critically Endangered
CR,New Zealand,2,Critically Endangered
CR,Northern Mariana Islands,2,Critically Endangered
CR,Norway,1,Critically Endangered
CR,Pakistan,34,Critically Endangered
CR,Peru,1,Critically Endangered
CR,Portugal,1,Critically Endangered
CR,Puerto Rico,6,Critically Endangered
CR,Romania,3,Critically Endangered
CR,Russian Federation,11,Critically Endangered
CR,Rwanda,1,Critically Endangered
CR,"Saint Helena, Ascension And Tristan Da Cunha",3,Critically Endangered
CR,Seychelles,4,Critically Endangered
CR,Somalia,2,Critically Endangered
CR,South Africa,8,Critically Endangered
CR,Spain,12,Critically Endangered
CR,Sudan,1,Critically Endangered
CR,Suriname,1,Critically Endangered
CR,Swaziland,1,Critically Endangered
CR,Sweden,1,Critically Endangered
CR,"Tanzania, United Republic Of",8,Critically Endangered
CR,Thailand,1,Critically Endangered
CR,Turkey,1,Critically Endangered
CR,Uganda,7,Critically Endangered
CR,United Kingdom,4,Critically Endangered
CR,United States,19,Critically Endangered
CR,United States Minor Outlying Islands,2,Critically Endangered
CR,"Venezuela, Bolivarian Republic Of",4,Critically Endangered
CR,Viet Nam,6,Critically Endangered
CR,"Virgin Islands, U.S.",1,Critically Endangered
CR,Western Sahara,1,Critically Endangered
CR,Zambia,2,Critically Endangered
CR,Zimbabwe,3,Critically Endangered
EN,Albania,1,Endangered
EN,Algeria,3,Endangered
EN,Antarctica,3,Endangered
EN,Argentina,4,Endangered
EN,Australia,36,Endangered
EN,Azerbaijan,2,Endangered
EN,Bahamas,2,Endangered
EN,Bangladesh,5,Endangered
EN,Bermuda,1,Endangered
EN,Botswana,1,Endangered
